#ZeropointFile: y3a1_fgcm_all_v2_5_full_redux.fits
#AtmosphereFile: y3a1_fgcm_all_v2_5_atmospheres_StdAtm.fits
#FGCMVersion: 0.12.1
NVAR: 15
VARNAMES: ROW DES_SNID MJD EXPNUM PHASE zHD BAND MAGCOR FRACNEGFLUX FLUXCAL_MODEL CCDNUM FULL_CORRs gFlux rFlux iFlux zFlux
ROW: 1253920-56563.200-g 1253920 56563.200 238984 -20.059 0.196 g +0.000e+00 2.440e+00 +0.000e+00 29 1 0.0 5.29210424423 4.93086147308 0.0
ROW: 1253920-56563.203-r 1253920 56563.203 238985 -20.055 0.196 r -1.280e-02 2.771e-01 +5.292e+00 29 1 0.0 5.29210424423 4.93086147308 0.0
ROW: 1253920-56563.205-i 1253920 56563.205 238986 -20.055 0.196 i -1.628e-02 1.307e-01 +4.931e+00 29 1 0.0 5.29210424423 4.93086147308 0.0
ROW: 1253920-56642.088-i 1253920 56642.088 265092 58.832 0.196 i +1.065e-02 0.000e+0 +6.698e+01 29 1 28.7263584137 83.306098938 66.9827651978 0.0
ROW: 1258940-56602.091-g 1258940 56602.091 251101 -17.445 0.426 g +7.102e-03 0.000e+0 +1.461e+01 53 1 14.6107559204 32.0715751648 29.5336799622 27.0940284729
ROW: 1258940-56602.093-r 1258940 56602.093 251102 -17.441 0.426 r +9.177e-04 0.000e+0 +3.207e+01 53 1 14.6107559204 32.0715751648 29.5336799622 27.0940284729
ROW: 1258940-56602.095-i 1258940 56602.095 251103 -17.441 0.426 i -5.574e-04 0.000e+0 +2.953e+01 53 1 14.6107559204 32.0715751648 29.5336799622 27.0940284729
ROW: 1258940-56602.098-z 1258940 56602.098 251104 -17.438 0.426 z -1.694e-04 0.000e+0 +2.709e+01 53 1 14.6107559204 32.0715751648 29.5336799622 27.0940284729
ROW: 1258940-56606.083-r 1258940 56606.083 252536 -13.453 0.426 r -2.168e-07 0.000e+0 +6.423e+01 53 0 56.0802993774 64.2342834473 56.6967086792 50.8103713989
ROW: 1258940-56606.085-i 1258940 56606.085 252537 -13.449 0.426 i -4.249e-04 0.000e+0 +5.670e+01 53 0 56.0802993774 64.2342834473 56.6967086792 50.8103713989
ROW: 1258940-56606.089-z 1258940 56606.089 252538 -13.445 0.426 z -2.274e-04 0.000e+0 +5.081e+01 53 0 56.0802993774 64.2342834473 56.6967086792 50.8103713989
ROW: 1258940-56609.082-g 1258940 56609.082 253374 -10.453 0.426 g +4.791e-03 0.000e+0 +5.608e+01 53 1 56.0802993774 93.0126724243 81.2278366089 71.0331573486
ROW: 1258940-56609.085-r 1258940 56609.085 253375 -10.449 0.426 r +5.980e-04 0.000e+0 +9.301e+01 53 1 56.0802993774 93.0126724243 81.2278366089 71.0331573486
ROW: 1258940-56609.087-i 1258940 56609.087 253376 -10.449 0.426 i -1.323e-03 0.000e+0 +8.123e+01 53 1 56.0802993774 93.0126724243 81.2278366089 71.0331573486
ROW: 1258940-56609.089-z 1258940 56609.089 253377 -10.445 0.426 z -2.751e-03 0.000e+0 +7.103e+01 53 1 56.0802993774 93.0126724243 81.2278366089 71.0331573486
ROW: 1258940-56616.073-g 1258940 56616.073 256171 -3.461 0.426 g +3.777e-03 0.000e+0 +7.572e+01 53 1 75.724899292 135.005615234 120.790817261 95.2948074341
ROW: 1258940-56616.075-r 1258940 56616.075 256172 -3.461 0.426 r +1.097e-03 0.000e+0 +1.350e+02 53 1 75.724899292 135.005615234 120.790817261 95.2948074341
ROW: 1258940-56616.077-i 1258940 56616.077 256173 -3.457 0.426 i -2.360e-03 0.000e+0 +1.208e+02 53 1 75.724899292 135.005615234 120.790817261 95.2948074341
ROW: 1258940-56616.081-z 1258940 56616.081 256174 -3.453 0.426 z -4.450e-03 0.000e+0 +9.529e+01 53 1 75.724899292 135.005615234 120.790817261 95.2948074341
ROW: 1258940-56625.210-g 1258940 56625.210 258497 5.676 0.426 g +6.643e-03 0.000e+0 +4.948e+01 53 1 49.4833831787 123.839828491 123.824859619 97.1664962769
ROW: 1258940-56625.213-r 1258940 56625.213 258498 5.680 0.426 r +6.919e-04 0.000e+0 +1.238e+02 53 1 49.4833831787 123.839828491 123.824859619 97.1664962769
ROW: 1258940-56625.215-i 1258940 56625.215 258499 5.680 0.426 i -1.785e-03 0.000e+0 +1.238e+02 53 1 49.4833831787 123.839828491 123.824859619 97.1664962769
ROW: 1258940-56625.218-z 1258940 56625.218 258500 5.684 0.426 z -1.224e-03 0.000e+0 +9.717e+01 53 1 49.4833831787 123.839828491 123.824859619 97.1664962769
ROW: 1258940-56629.038-g 1258940 56629.038 259823 9.504 0.426 g -2.168e-07 1.176e-03 +3.755e+01 53 0 37.5540008545 106.432113647 113.325256348 86.6264190674
ROW: 1258940-56629.040-r 1258940 56629.040 259824 9.504 0.426 r +4.552e-05 0.000e+0 +1.064e+02 53 1 37.5540008545 106.432113647 113.325256348 86.6264190674
ROW: 1258940-56629.042-i 1258940 56629.042 259825 9.508 0.426 i -1.137e-03 0.000e+0 +1.133e+02 53 1 37.5540008545 106.432113647 113.325256348 86.6264190674
ROW: 1258940-56629.045-z 1258940 56629.045 259826 9.512 0.426 z -4.889e-03 0.000e+0 +8.663e+01 53 1 37.5540008545 106.432113647 113.325256348 86.6264190674
ROW: 1258940-56636.041-g 1258940 56636.041 262219 16.504 0.426 g +5.474e-03 0.000e+0 +2.124e+01 53 1 21.2358779907 72.1272354126 86.3317260742 62.9653434753
ROW: 1258940-56636.044-r 1258940 56636.044 262220 16.508 0.426 r -7.445e-04 0.000e+0 +7.213e+01 53 1 21.2358779907 72.1272354126 86.3317260742 62.9653434753
ROW: 1258940-56636.046-i 1258940 56636.046 262221 16.512 0.426 i -1.323e-03 0.000e+0 +8.633e+01 53 1 21.2358779907 72.1272354126 86.3317260742 62.9653434753
ROW: 1258940-56636.049-z 1258940 56636.049 262222 16.516 0.426 z -1.128e-03 0.000e+0 +6.297e+01 53 1 21.2358779907 72.1272354126 86.3317260742 62.9653434753
ROW: 1258940-56645.136-g 1258940 56645.136 266137 25.602 0.426 g +4.892e-03 1.776e-02 +9.595e+00 53 1 9.59473800659 39.7237663269 60.4325752258 52.6224136353
ROW: 1258940-56645.138-r 1258940 56645.138 266138 25.602 0.426 r -1.980e-03 0.000e+0 +3.972e+01 53 1 9.59473800659 39.7237663269 60.4325752258 52.6224136353
ROW: 1258940-56645.140-i 1258940 56645.140 266139 25.605 0.426 i +9.819e-05 0.000e+0 +6.043e+01 53 1 9.59473800659 39.7237663269 60.4325752258 52.6224136353
ROW: 1258940-56645.143-z 1258940 56645.143 266140 25.609 0.426 z -6.583e-03 0.000e+0 +5.262e+01 53 1 9.59473800659 39.7237663269 60.4325752258 52.6224136353
ROW: 1258940-56649.132-g 1258940 56649.132 267615 29.598 0.426 g +0.000e+00 6.396e-02 +6.900e+00 53 1 6.90020847321 30.7567119598 53.2986831665 50.464012146
ROW: 1258940-56649.134-r 1258940 56649.134 267616 29.598 0.426 r -3.659e-03 0.000e+0 +3.076e+01 53 1 6.90020847321 30.7567119598 53.2986831665 50.464012146
ROW: 1258940-56649.136-i 1258940 56649.136 267617 29.602 0.426 i +1.450e-03 0.000e+0 +5.330e+01 53 1 6.90020847321 30.7567119598 53.2986831665 50.464012146
ROW: 1258940-56649.139-z 1258940 56649.139 267618 29.605 0.426 z -1.675e-02 0.000e+0 +5.046e+01 53 1 6.90020847321 30.7567119598 53.2986831665 50.464012146
ROW: 1258940-56653.147-g 1258940 56653.147 268325 33.613 0.426 g -2.168e-07 1.034e-01 +5.132e+00 53 0 5.13189983368 23.9992904663 46.9286575317 47.5105247498
ROW: 1258940-56653.149-r 1258940 56653.149 268326 33.613 0.426 r -1.514e-03 0.000e+0 +2.400e+01 53 1 5.13189983368 23.9992904663 46.9286575317 47.5105247498
ROW: 1258940-56653.151-i 1258940 56653.151 268327 33.617 0.426 i -1.211e-04 0.000e+0 +4.693e+01 53 1 5.13189983368 23.9992904663 46.9286575317 47.5105247498
ROW: 1258940-56653.153-z 1258940 56653.153 268328 33.617 0.426 z -1.866e-02 0.000e+0 +4.751e+01 53 1 5.13189983368 23.9992904663 46.9286575317 47.5105247498
ROW: 1258940-56660.061-g 1258940 56660.061 270923 40.527 0.426 g +7.219e-04 3.236e-01 +3.835e+00 53 1 3.83503675461 16.8527183533 46.9286575317 39.6453895569
ROW: 1258940-56660.063-r 1258940 56660.063 270924 40.527 0.426 r -3.142e-03 0.000e+0 +1.685e+01 53 1 3.83503675461 16.8527183533 46.9286575317 39.6453895569
ROW: 1258940-56660.068-z 1258940 56660.068 270926 40.531 0.426 z -2.494e-02 0.000e+0 +3.965e+01 53 1 3.83503675461 16.8527183533 46.9286575317 39.6453895569
ROW: 1258940-56669.044-g 1258940 56669.044 273328 49.508 0.426 g +0.000e+00 5.932e-01 +3.101e+00 53 1 3.10092353821 11.8356285095 25.854927063 27.1959781647
ROW: 1258940-56669.046-r 1258940 56669.046 273329 49.512 0.426 r -1.752e-03 0.000e+0 +1.184e+01 53 1 3.10092353821 11.8356285095 25.854927063 27.1959781647
ROW: 1258940-56669.048-i 1258940 56669.048 273330 49.512 0.426 i -3.609e-03 0.000e+0 +2.585e+01 53 1 3.10092353821 11.8356285095 25.854927063 27.1959781647
ROW: 1258940-56669.051-z 1258940 56669.051 273331 49.516 0.426 z -5.874e-03 0.000e+0 +2.720e+01 53 1 3.10092353821 11.8356285095 25.854927063 27.1959781647
ROW: 1258940-56676.058-g 1258940 56676.058 275612 56.523 0.426 g -2.138e-05 3.666e-01 +2.885e+00 53 1 2.88528943062 10.0828208923 21.0774936676 21.0655994415
ROW: 1258940-56676.060-r 1258940 56676.060 275613 56.523 0.426 r -7.483e-04 0.000e+0 +1.008e+01 53 1 2.88528943062 10.0828208923 21.0774936676 21.0655994415
ROW: 1258940-56676.062-i 1258940 56676.062 275614 56.527 0.426 i -3.845e-04 0.000e+0 +2.108e+01 53 1 2.88528943062 10.0828208923 21.0774936676 21.0655994415
ROW: 1258940-56676.064-z 1258940 56676.064 275615 56.527 0.426 z -1.897e-02 0.000e+0 +2.107e+01 53 1 2.88528943062 10.0828208923 21.0774936676 21.0655994415
ROW: 1258940-56683.039-g 1258940 56683.039 277829 63.504 0.426 g -1.608e-03 3.562e-01 +2.386e+00 53 1 2.38587069511 8.97260284424 18.0973072052 17.1634292603
ROW: 1258940-56683.042-r 1258940 56683.042 277830 63.508 0.426 r +0.000e+00 0.000e+0 +8.973e+00 53 1 2.38587069511 8.97260284424 18.0973072052 17.1634292603
