,CIDint,z,zHDERR,Local Mass,Local Mass error,Local U-R,Local U-R error,Host Mass,Host Mass error,Host U-R,Host U-R error
111,1260241,0.3334,0.0001,10.640341,0.099263914,1.8280525,0.06051323,10.992846,0.05147042,1.5659065,0.017818047
112,1260889,0.5289,0.0001,9.297652,0.09052,1.380516,0.09421598,10.155125,0.019574422,1.4358368,0.027949926
113,1261233,0.5317,0.0001,8.512308,0.030824542,0.33343124,0.091086134,9.222771,0.013573104,0.14854813,0.0224157
114,1261503,0.3521,0.0001,10.386939,0.11292835,1.7573547,0.0699281,10.661257,0.073741555,1.7011795,0.020604556
115,1261579,0.3221,0.0001,8.855838,0.040749174,1.3993416,0.053592477,11.164474,0.024486786,1.6290131,0.01561631
116,1262016,0.4669,0.0001,8.927593,0.045936182,0.3738594,0.08792981,9.375555,0.016175088,0.24523926,0.016750963
117,1262131,0.3379999999999999,0.0001,9.856502,0.108581774,1.6672249,0.062454157,10.179567,0.08658853,1.6377182,0.022347586
118,1262135,0.3829999999999999,0.0001,9.252433,0.055821992,0.7901764,0.051204536,10.829304,0.013098084,1.1006012,0.014275182
119,1262181,0.4695,0.0001,9.372571,0.08927257,0.82660675,0.091960594,10.538719,0.016125675,0.83379745,0.018149046
120,1262190,0.3339,0.0001,8.981643,0.03816258,0.5968666,0.04532337,10.73433,0.014803042,0.67653275,0.01585841
121,1262252,0.4529,0.0001,8.28727,0.07430266,0.39149857,0.085179575,9.537608,0.017130997,0.3336525,0.017679026
122,1262267,0.5621,0.0001,10.368626,0.060786583,1.6238708,0.06769194,11.023631,0.039859302,1.5184402,0.020919679
123,1262550,0.2921,0.0001,9.619841,0.03353253,0.9982033,0.039193023,10.394404,0.014816699,1.0449448,0.013503016
124,1262573,0.2375,0.0001,9.556517,0.08489742,1.6179199,0.06310112,11.062949,0.041549735,1.7138023,0.016631471
125,1262726,0.251,0.0001,10.486148,0.045408886,1.9907494,0.0627171,10.731624,0.023706308,1.7289314,0.016297227
126,1262746,0.2308,0.0001,9.831843,0.045173924,1.4902306,0.080770135,10.420587,0.017241627,1.496994,0.016246963
127,1263273,0.5046,0.0001,10.000474,0.096248075,1.6024208,0.06504643,10.155938,0.021443615,1.5356789,0.02465745
128,1263291,0.3936,0.0001,8.62665,0.050822034,0.71004486,0.06432659,8.726248,0.04345154,0.38894653,0.041925702
129,1263369,0.3125,0.0001,9.428203,0.030697195,1.1183548,0.03735492,10.399167,0.012446354,1.0003433,0.014479216
130,1263579,0.5616,0.0001,9.310355,0.05982564,1.2752419,0.07748922,10.856705,0.03166142,1.5770416,0.026311774
131,1263715,0.2919,0.0001,8.447176,0.05561671,0.49473572,0.0595034,8.640429,0.06465079,0.3979683,0.047561742
